timeline,latitude,longitude,id,icao_24bit,heading,altitude,ground_speed,aircraft_code,registration,time,origin_airport_iata,destination_airport_iata,number,airline_iata,on_ground,vertical_speed,callsign,airline_icao,origin_airport_name,origin_airport_coordinates,destination_airport_name,destination_airport_coordinates,airline_name,aircraft_name,manufacturer
2024-05-30 23:57:59,37.7187,-122.2175,3570f2ca,AAA39A,90,0,0,B752,N785FD,1717106271,BOI,OAK,FX1813,FX,1,0,FDX1813,FDX,Boise Air Terminal/Gowen Field,"43.5644, -116.223",Metropolitan Oakland International Airport,"37.721298, -122.221001",Fedex,Boeing 757-200,Boeing
2024-05-30 23:57:59,39.7051,-86.2923,35711bed,A0F99E,322,0,0,B763,N162FE,1717106272,CLT,IND,FX1635,FX,1,0,FDX1635,FDX,Charlotte Douglas International Airport,"35.2140007019043, -80.94309997558594",Indianapolis International Airport,"39.7173, -86.294403",Fedex,Boeing 767-300,Boeing
2024-05-30 23:57:59,41.0935,-75.1553,357164dc,76CCE2,114,23000,394,A359,9V-SGB,1717106272,SIN,JFK,SQ24,SQ,0,0,SIA24,SIA,Singapore Changi Airport,"1.35019, 103.994003",John F Kennedy International Airport,"40.639447, -73.779317",Singapore Airlines,Airbus A350-900,Airbus
2024-05-30 23:57:59,-34.0388,153.0339,357193ab,7C4926,263,32975,368,A388,VH-OQG,1717106274,LAX,SYD,QF12,QF,0,-2816,QFA12,QFA,Los Angeles / Tom Bradley International Airport,"33.942501, -118.407997",Sydney Kingsford Smith International Airport,"-33.94609832763672, 151.177001953125",Qantas,Airbus A380-800,Airbus
2024-05-30 23:57:59,29.9903,-95.5142,35719651,8964E2,90,2900,160,A388,A6-EVK,1717106270,DXB,IAH,EK211,EK,0,-832,UAE1Y,UAE,Dubai International Airport,"25.2527999878, 55.3643989563",George Bush Intercontinental Houston Airport,"29.984399795532227, -95.34140014648438",Emirates,Airbus A380-800,Airbus
2024-05-30 23:57:59,36.1439,115.0056,35719997,7805AA,185,38100,495,B77L,B-2075,1717106271,JFK,CAN,CSG2544,CS,0,0,CSG2544,CSG,John F Kennedy International Airport,"40.639447, -73.779317",Guangzhou Baiyun International Airport,"23.392401, 113.299004",Comlux Aruba,Boeing 777-200LR,Boeing
2024-05-30 23:57:59,1.5378,104.0609,35719c0e,A31A56,233,2125,189,B789,N29977,1717106274,SFO,SIN,UA1,UA,0,-64,UAL1,UAL,San Francisco International Airport,"37.61899948120117, -122.375",Singapore Changi Airport,"1.35019, 103.994003",United Airlines,Boeing 787-9,Boeing
2024-05-30 23:57:59,33.6381,-84.4194,35719c96,A67F8A,272,0,0,A359,N518DZ,1717106265,ICN,ATL,DL188,DL,1,0,DAL188,DAL,Incheon International Airport,"37.46910095214844, 126.45099639892578",Hartsfield Jackson Atlanta International Airport,"33.6367, -84.428101",Delta Air Lines,Airbus A350-900,Airbus
2024-05-30 23:57:59,34.6039,-116.2408,3571a2cb,710110,226,32300,464,B77W,HZ-AK38,1717106273,JED,LAX,SV41,SV,0,-2048,SVA041,SVA,King Abdulaziz International Airport,"21.6796, 39.156502",Los Angeles / Tom Bradley International Airport,"33.942501, -118.407997",Saudia,Boeing 777-300ER,Boeing
2024-05-30 23:57:59,38.8659,117.2598,3571a361,780D2A,321,17700,358,B748,B-2482,1717106261,JFK,PEK,CA982,CA,0,64,CCA982,CCA,John F Kennedy International Airport,"40.639447, -73.779317",Beijing Capital International Airport,"40.080101013183594, 116.58499908447266",Air China,Boeing 747-8,Boeing
2024-05-30 23:57:59,-33.9332,151.1704,3571a585,A2A3B5,315,0,10,B789,N26966,1717106238,SFO,BNE,UA96,UA,1,0,UAL96,UAL,San Francisco International Airport,"37.61899948120117, -122.375",Brisbane International Airport,"-27.384199142456055, 153.11700439453125",United Airlines,Boeing 787-9,Boeing
2024-05-30 23:57:59,4.9407,110.4859,3571aae9,76CD44,233,40000,536,A359,9V-SJD,1717106274,LAX,SIN,SQ37,SQ,0,64,SIA37,SIA,Los Angeles / Tom Bradley International Airport,"33.942501, -118.407997",Singapore Changi Airport,"1.35019, 103.994003",Singapore Airlines,Airbus A350-900,Airbus
2024-05-30 23:57:59,-35.7913,148.689,3571ad86,A254D8,234,26000,430,B789,N24974,1717106274,SFO,MEL,UA60,UA,0,-64,UAL60,UAL,San Francisco International Airport,"37.61899948120117, -122.375",Melbourne International Airport,"-37.673302, 144.843002",United Airlines,Boeing 787-9,Boeing
2024-05-30 23:57:59,-34.0641,151.2066,3571b06a,8963EA,348,1925,111,A388,A6-EOM,1717106272,DXB,BNE,EK434,EK,0,-576,UAE434,UAE,Dubai International Airport,"25.2527999878, 55.3643989563",Brisbane International Airport,"-27.384199142456055, 153.11700439453125",Emirates,Airbus A380-800,Airbus
2024-05-30 23:57:59,14.5035,121.0043,3571b663,7583EB,19,0,0,B77W,RP-C7778,1717106270,SFO,MNL,PR105,PR,1,0,PAL105,PAL,San Francisco International Airport,"37.61899948120117, -122.375",Ninoy Aquino International Airport,"14.5086, 121.019997",Philippine Airlines,Boeing 777-300ER,Boeing
2024-05-30 23:57:59,37.7162,-81.3532,3571c3b8,C8243A,81,39000,536,B789,ZK-NZM,1717106272,AKL,JFK,NZ2,NZ,0,-64,ANZ2,ANZ,Auckland International Airport,"-37.01199, 174.786331",John F Kennedy International Airport,"40.639447, -73.779317",Air New Zealand,Boeing 787-9,Boeing
2024-05-30 23:57:59,61.1899,-150.0029,3571d12b,ABED10,255,0,0,B77L,N868FD,1717106274,IND,ANC,FX29,FX,1,0,FDX29,FDX,Indianapolis International Airport,"39.7173, -86.294403",Ted Stevens Anchorage International Airport,"61.1744, -149.996002",Fedex,Boeing 777-200LR,Boeing
2024-05-30 23:57:59,1.4355,104.014,3571d3af,76CDC3,203,1375,152,B77W,9V-SNC,1717106273,LHR,SIN,SQ305,SQ,0,-768,SIA305,SIA,London Heathrow Airport,"51.4706, -0.461941",Singapore Changi Airport,"1.35019, 103.994003",Singapore Airlines,Boeing 777-300ER,Boeing
2024-05-30 23:57:59,35.7683,140.3766,3571d797,AC25C4,340,0,9,B77L,N882FD,1717106273,MEM,NRT,FX15,FX,1,0,FDX15,FDX,Memphis International Airport,"35.04240036010742, -89.97669982910156",Narita International Airport,"35.764702, 140.386002",Fedex,Boeing 777-200LR,Boeing
2024-05-30 23:57:59,14.9893,121.5738,3571d81b,758798,266,17350,316,B77W,RP-C7783,1717106274,YVR,MNL,PR117,PR,0,-1024,PAL117,PAL,Vancouver International Airport,"49.193901062, -123.183998108",Ninoy Aquino International Airport,"14.5086, 121.019997",Philippine Airlines,Boeing 777-300ER,Boeing
2024-05-30 23:57:59,45.1775,-145.1975,3571daec,80153F,105,38000,525,B77L,VT-AEG,1717106275,BLR,SFO,AI175,AI,0,0,AIC175,AIC,Kempegowda International Airport,"13.1979, 77.706299",San Francisco International Airport,"37.61899948120117, -122.375",Air India,Boeing 777-200LR,Boeing
2024-05-30 23:57:59,46.9057,-97.306,3571db0b,A65449,88,39025,514,A359,N507DN,1717106272,ICN,MSP,DL170,DL,0,-64,DAL170,DAL,Incheon International Airport,"37.46910095214844, 126.45099639892578",Minneapolis–Saint Paul International Airport / Wold–Chamberlain Field,"44.882, -93.221802",Delta Air Lines,Airbus A350-900,Airbus
2024-05-30 23:57:59,35.038,137.1149,3571e245,8990E3,235,38000,423,B77W,B-16721,1717106275,JFK,TPE,BR31,BR,0,-64,EVA031,EVA,John F Kennedy International Airport,"40.639447, -73.779317",Taiwan Taoyuan International Airport,"25.0777, 121.233002",EVA Air,Boeing 777-300ER,Boeing
2024-05-30 23:57:59,14.8164,79.2032,3571e248,89655C,297,40000,520,A388,A6-EVP,1717106274,AKL,DXB,EK449,EK,0,0,UAE1QH,UAE,Auckland International Airport,"-37.01199, 174.786331",Dubai International Airport,"25.2527999878, 55.3643989563",Emirates,Airbus A380-800,Airbus
2024-05-30 23:57:59,37.3795,-88.006,3571e7e8,A6456D,139,39000,562,A359,N503DN,1717106271,ICN,ATL,DL26,DL,0,0,DAL26,DAL,Incheon International Airport,"37.46910095214844, 126.45099639892578",Hartsfield Jackson Atlanta International Airport,"33.6367, -84.428101",Delta Air Lines,Airbus A350-900,Airbus
2024-05-30 23:57:59,26.3686,52.3402,3571eb2c,A8397C,110,36625,481,B748,N629UP,1717106273,SDF,DXB,5X76,5X,0,-832,UPS76,UPS,Louisville Muhammad Ali International Airport,"38.1744, -85.736",Dubai International Airport,"25.2527999878, 55.3643989563",UPS Airlines,Boeing 747-8,Boeing
2024-05-30 23:57:59,8.0499,88.5457,3571eb57,75044E,114,41004,455,A359,9M-MAG,1717106271,LHR,KUL,MH3,MH,0,0,MAS3,MAS,London Heathrow Airport,"51.4706, -0.461941",Kuala Lumpur International Airport,"2.74558, 101.709999",Malaysia Airlines,Airbus A350-900,Airbus
2024-05-30 23:57:59,46.2013,-96.8275,3571ee48,789275,101,41000,510,A359,B-LQG,1717106273,HKG,JFK,CX840,CX,0,0,CPA840,CPA,Hong Kong International Airport,"22.308901, 113.915001",John F Kennedy International Airport,"40.639447, -73.779317",Cathay Pacific,Airbus A350-900,Airbus
2024-05-30 23:57:59,61.1905,-150.0032,3571f116,AC50FA,180,0,0,B77L,N893FD,1717106275,OAK,ANC,FX37,FX,1,0,FDX37,FDX,Metropolitan Oakland International Airport,"37.721298, -122.221001",Ted Stevens Anchorage International Airport,"61.1744, -149.996002",Fedex,Boeing 777-200LR,Boeing
2024-05-30 23:57:59,-17.7527,177.4503,3571f18c,C88019,194,0,0,A332,DQ-FJU,1717106274,HKG,NAN,FJ392,FJ,1,0,FJI392,FJI,Hong Kong International Airport,"22.308901, 113.915001",Nadi International Airport,"-17.755399703979492, 177.4429931640625",Fiji Airways,Airbus A330-200,Airbus
2024-05-30 23:57:59,26.3079,43.6689,3571f3a0,AC1E56,95,39000,491,B77L,N880FD,1717106272,MEM,DWC,FX8,FX,0,0,FDX8,FDX,Memphis International Airport,"35.04240036010742, -89.97669982910156",Al Maktoum International Airport,"24.896356, 55.161389",Fedex,Boeing 777-200LR,Boeing
2024-05-30 23:57:59,35.7793,140.3928,3571f3c6,A75B5E,84,0,19,B744,N573UP,1717106273,SDF,NRT,5X108,5X,1,0,UPS108,UPS,Louisville Muhammad Ali International Airport,"38.1744, -85.736",Narita International Airport,"35.764702, 140.386002",UPS Airlines,Boeing 747-400,Boeing
2024-05-30 23:57:59,24.2529,120.3168,3571f694,89901E,32,23800,430,B77W,B-18005,1717106274,FRA,TPE,CI62,CI,0,-1792,CAL062,CAL,Frankfurt Airport,"50.036521, 8.561268",Taiwan Taoyuan International Airport,"25.0777, 121.233002",China Airlines,Boeing 777-300ER,Boeing
2024-05-30 23:57:59,34.7679,138.728,3571f7fe,86DD2A,81,26075,497,B788,JA844J,1717106275,LHR,HND,JL42,JL,0,-2304,JAL42,JAL,London Heathrow Airport,"51.4706, -0.461941",Tokyo Haneda International Airport,"35.552299, 139.779999",Japan Airlines,Boeing 787-8,Boeing
2024-05-30 23:57:59,35.687,-86.5047,3571f851,A63DFF,134,33000,569,A359,N501DN,1717106273,HND,ATL,DL296,DL,0,0,DAL296,DAL,Tokyo Haneda International Airport,"35.552299, 139.779999",Hartsfield Jackson Atlanta International Airport,"33.6367, -84.428101",Delta Air Lines,Airbus A350-900,Airbus
2024-05-30 23:57:59,22.3013,113.9195,3571f99d,AA70B1,70,0,10,B77L,N772CK,1717106274,BRU,HKG,K4647,K4,1,0,CKS647,DHK,Brussels Airport,"50.901402, 4.48444",Hong Kong International Airport,"22.308901, 113.915001",ALS,Boeing 777-200LR,Boeing
2024-05-30 23:57:59,35.9421,140.7916,3571fe83,AA8499,277,6075,276,B77L,N777SA,1717106274,CVG,NRT,PO213,PO,0,0,PAC213,DHK,Cincinnati Northern Kentucky International Airport,"39.048801, -84.667801",Narita International Airport,"35.764702, 140.386002",Polar Air Cargo,Boeing 777-200LR,Boeing
