id,manufacturer,aircraft_name,airline_name
356e6100,Boeing,Boeing 787-9,Vietnam Airlines
356e95ac,Airbus,Airbus A350-900,French Bee
356ef326,Airbus,Airbus A350-900,Air France
356f116f,Airbus,Airbus A350-900,Qatar Airways
356f44d2,Airbus,Airbus A321,American Airlines
356f511b,Bombardier,Bombardier Global Express,VietJet Air
356f637f,Airbus,Airbus A321neo,TAP Portugal
356fa2bf,Airbus,Airbus A320,LATAM Chile
356fad32,Cessna,Cessna Citation Sovereign,Tailwind Hava Yollari As
356faf84,Airbus,Airbus A321,British Airways
356fb047,Airbus,Airbus A330-800neo,Uganda Airlines
356fb256,Boeing,Boeing 777-300ER,Emirates
