origin_airport_name,destination_airport_name,count
London Heathrow Airport,Singapore Changi Airport,1
İstanbul Airport,Tocumen International Airport,1
Incheon International Airport,Dubai International Airport,2
Charles de Gaulle International Airport,Miami International Airport,1
Athens Eleftherios Venizelos International Airport,Singapore Changi Airport,1
Beijing Capital International Airport,Charles de Gaulle International Airport,1
Roland Garros Airport,Charles de Gaulle International Airport,1
John F Kennedy International Airport,San Francisco International Airport,2
Kuala Lumpur International Airport,London Heathrow Airport,1
Harry Reid International Airport,Philadelphia International Airport,1
Roland Garros Airport,Paris-Orly Airport,2
Indira Gandhi International Airport,Hong Kong International Airport,1
