origin_airport_name,destination_airport_name,count
London Heathrow Airport,Singapore Changi Airport,2
İstanbul Airport,Tocumen International Airport,2
Incheon International Airport,Dubai International Airport,4
Charles de Gaulle International Airport,Miami International Airport,2
Athens Eleftherios Venizelos International Airport,Singapore Changi Airport,2
Beijing Capital International Airport,Charles de Gaulle International Airport,2
Roland Garros Airport,Charles de Gaulle International Airport,2
John F Kennedy International Airport,San Francisco International Airport,4
Kuala Lumpur International Airport,London Heathrow Airport,2
Harry Reid International Airport,Philadelphia International Airport,2
Roland Garros Airport,Paris-Orly Airport,4
Indira Gandhi International Airport,Hong Kong International Airport,2
