origin_airport_name,destination_airport_name,count
Amsterdam Airport Schiphol,Taiwan Taoyuan International Airport,11
Charles de Gaulle International Airport,Juan Santamaría International Airport,11
Adolfo Suárez Madrid–Barajas Airport,Jorge Chávez International Airport,11
Geneva Cointrin International Airport,Chicago Midway International Airport,11
Frankfurt Airport,Beijing Capital International Airport,22
Brussels Airport,Hong Kong International Airport,11
Vienna International Airport,John F Kennedy International Airport,11
Washington Dulles International Airport,Indira Gandhi International Airport,11
Newark Liberty International Airport,Narita International Airport,11
Rio Galeão – Tom Jobim International Airport,Rome–Fiumicino Leonardo da Vinci International Airport,11
Chengdu Tianfu International Airport,Cairo International Airport,11
