origin_airport_name,destination_airport_name,count
Guangzhou Baiyun International Airport,Melbourne International Airport,12
Cape Town International Airport,İstanbul Airport,12
Mohammed V International Airport,Miami International Airport,12
Sir Seewoosagur Ramgoolam International Airport,İstanbul Airport,12
Taiwan Taoyuan International Airport,İstanbul Airport,12
Chicago O'Hare International Airport,Indira Gandhi International Airport,12
Tribhuvan International Airport,Dubai International Airport,12
Chicago O'Hare International Airport,Ted Stevens Anchorage International Airport,12
Shanghai Pudong International Airport,Budapest Liszt Ferenc International Airport,12
Tenerife Sur Airport,Amsterdam Airport Schiphol,9
Domodedovo International Airport,Yakutsk Airport,2
