origin_airport_name,destination_airport_name,count
İstanbul Airport,Miami International Airport,13
Murtala Muhammed International Airport,Hartsfield Jackson Atlanta International Airport,13
Charles de Gaulle International Airport,Los Angeles / Tom Bradley International Airport,39
Tokyo Haneda International Airport,Frankfurt Airport,13
Ninoy Aquino International Airport,Kuwait International Airport,13
Kuwait International Airport,Bandaranaike International Colombo Airport,13
Baltimore/Washington International Thurgood Marshall Airport,San Diego International Airport,13
London Heathrow Airport,King Abdulaziz International Airport,13
Abu Dhabi International Airport,Kuala Lumpur International Airport,13
La Guardia Airport,Denver International Airport,5
