origin_airport_name,destination_airport_name,count
London Heathrow Airport,Singapore Changi Airport,14
İstanbul Airport,Tocumen International Airport,14
Incheon International Airport,Dubai International Airport,28
Charles de Gaulle International Airport,Miami International Airport,14
Athens Eleftherios Venizelos International Airport,Singapore Changi Airport,14
Beijing Capital International Airport,Charles de Gaulle International Airport,14
Roland Garros Airport,Charles de Gaulle International Airport,14
John F Kennedy International Airport,San Francisco International Airport,28
Kuala Lumpur International Airport,London Heathrow Airport,14
Harry Reid International Airport,Philadelphia International Airport,14
Roland Garros Airport,Paris-Orly Airport,28
Indira Gandhi International Airport,Hong Kong International Airport,20
