origin_airport_name,destination_airport_name,count
Guangzhou Baiyun International Airport,Melbourne International Airport,15
Cape Town International Airport,İstanbul Airport,15
Mohammed V International Airport,Miami International Airport,15
Sir Seewoosagur Ramgoolam International Airport,İstanbul Airport,15
Taiwan Taoyuan International Airport,İstanbul Airport,15
Chicago O'Hare International Airport,Indira Gandhi International Airport,15
Tribhuvan International Airport,Dubai International Airport,15
Chicago O'Hare International Airport,Ted Stevens Anchorage International Airport,15
Shanghai Pudong International Airport,Budapest Liszt Ferenc International Airport,15
Domodedovo International Airport,Yakutsk Airport,5
