origin_airport_name,destination_airport_name,count
London Heathrow Airport,Singapore Changi Airport,16
İstanbul Airport,Tocumen International Airport,16
Incheon International Airport,Dubai International Airport,32
Charles de Gaulle International Airport,Miami International Airport,16
Athens Eleftherios Venizelos International Airport,Singapore Changi Airport,16
Beijing Capital International Airport,Charles de Gaulle International Airport,16
Roland Garros Airport,Charles de Gaulle International Airport,16
John F Kennedy International Airport,San Francisco International Airport,32
Kuala Lumpur International Airport,London Heathrow Airport,16
Harry Reid International Airport,Philadelphia International Airport,16
Roland Garros Airport,Paris-Orly Airport,32
Indira Gandhi International Airport,Hong Kong International Airport,24
