origin_airport_name,destination_airport_name,count
İstanbul Airport,Miami International Airport,17
Murtala Muhammed International Airport,Hartsfield Jackson Atlanta International Airport,17
Charles de Gaulle International Airport,Los Angeles / Tom Bradley International Airport,51
Tokyo Haneda International Airport,Frankfurt Airport,17
Ninoy Aquino International Airport,Kuwait International Airport,17
Kuwait International Airport,Bandaranaike International Colombo Airport,17
Baltimore/Washington International Thurgood Marshall Airport,San Diego International Airport,17
London Heathrow Airport,King Abdulaziz International Airport,17
Abu Dhabi International Airport,Kuala Lumpur International Airport,17
La Guardia Airport,Denver International Airport,9
