origin_airport_name,destination_airport_name,count
Amsterdam Airport Schiphol,Taiwan Taoyuan International Airport,18
Charles de Gaulle International Airport,Juan Santamaría International Airport,18
Adolfo Suárez Madrid–Barajas Airport,Jorge Chávez International Airport,18
Geneva Cointrin International Airport,Chicago Midway International Airport,18
Frankfurt Airport,Beijing Capital International Airport,36
Brussels Airport,Hong Kong International Airport,18
Vienna International Airport,John F Kennedy International Airport,18
Washington Dulles International Airport,Indira Gandhi International Airport,18
Newark Liberty International Airport,Narita International Airport,18
Rio Galeão – Tom Jobim International Airport,Rome–Fiumicino Leonardo da Vinci International Airport,18
Chengdu Tianfu International Airport,Cairo International Airport,18
