origin_airport_name,destination_airport_name,count
İstanbul Airport,Miami International Airport,19
Murtala Muhammed International Airport,Hartsfield Jackson Atlanta International Airport,19
Charles de Gaulle International Airport,Los Angeles / Tom Bradley International Airport,57
Tokyo Haneda International Airport,Frankfurt Airport,19
Ninoy Aquino International Airport,Kuwait International Airport,19
Kuwait International Airport,Bandaranaike International Colombo Airport,19
Baltimore/Washington International Thurgood Marshall Airport,San Diego International Airport,19
London Heathrow Airport,King Abdulaziz International Airport,19
Abu Dhabi International Airport,Kuala Lumpur International Airport,19
La Guardia Airport,Denver International Airport,11
