origin_airport_name,destination_airport_name,count
Malpensa International Airport,John F Kennedy International Airport,20
Warsaw Chopin Airport,Chicago O'Hare International Airport,20
John F Kennedy International Airport,Hamad International Airport,20
Helsinki Vantaa Airport,Tokyo Haneda International Airport,20
San Diego International Airport,John F Kennedy International Airport,20
Ted Stevens Anchorage International Airport,John F Kennedy International Airport,40
Vnukovo International Airport,Urgench Airport,20
Norman Y. Mineta San Jose International Airport,Nashville International Airport,20
Amsterdam Airport Schiphol,Chhatrapati Shivaji International Airport,20
La Guardia Airport,Dallas Fort Worth International Airport,13
