origin_airport_name,destination_airport_name,count
Amsterdam Airport Schiphol,Hong Kong International Airport,3
İstanbul Airport,Miami International Airport,3
Murtala Muhammed International Airport,Hartsfield Jackson Atlanta International Airport,3
Charles de Gaulle International Airport,Los Angeles / Tom Bradley International Airport,9
Tokyo Haneda International Airport,Frankfurt Airport,3
Ninoy Aquino International Airport,Kuwait International Airport,3
Kuwait International Airport,Bandaranaike International Colombo Airport,3
Baltimore/Washington International Thurgood Marshall Airport,San Diego International Airport,3
London Heathrow Airport,King Abdulaziz International Airport,3
Abu Dhabi International Airport,Kuala Lumpur International Airport,3
Punta Cana International Airport,Logan International Airport,3
