origin_airport_name,destination_airport_name,count
Malpensa International Airport,John F Kennedy International Airport,21
Warsaw Chopin Airport,Chicago O'Hare International Airport,21
John F Kennedy International Airport,Hamad International Airport,21
Helsinki Vantaa Airport,Tokyo Haneda International Airport,21
San Diego International Airport,John F Kennedy International Airport,21
Ted Stevens Anchorage International Airport,John F Kennedy International Airport,42
Vnukovo International Airport,Urgench Airport,21
Norman Y. Mineta San Jose International Airport,Nashville International Airport,21
Amsterdam Airport Schiphol,Chhatrapati Shivaji International Airport,21
La Guardia Airport,Dallas Fort Worth International Airport,14
