origin_airport_name,destination_airport_name,count
London Heathrow Airport,Singapore Changi Airport,22
İstanbul Airport,Tocumen International Airport,22
Incheon International Airport,Dubai International Airport,44
Charles de Gaulle International Airport,Miami International Airport,22
Athens Eleftherios Venizelos International Airport,Singapore Changi Airport,22
Beijing Capital International Airport,Charles de Gaulle International Airport,22
Roland Garros Airport,Charles de Gaulle International Airport,22
John F Kennedy International Airport,San Francisco International Airport,44
Kuala Lumpur International Airport,London Heathrow Airport,22
Harry Reid International Airport,Philadelphia International Airport,22
Roland Garros Airport,Paris-Orly Airport,44
Indira Gandhi International Airport,Hong Kong International Airport,36
