origin_airport_name,destination_airport_name,count
İstanbul Airport,Miami International Airport,4
Murtala Muhammed International Airport,Hartsfield Jackson Atlanta International Airport,4
Charles de Gaulle International Airport,Los Angeles / Tom Bradley International Airport,12
Tokyo Haneda International Airport,Frankfurt Airport,4
Ninoy Aquino International Airport,Kuwait International Airport,4
Kuwait International Airport,Bandaranaike International Colombo Airport,4
Baltimore/Washington International Thurgood Marshall Airport,San Diego International Airport,4
London Heathrow Airport,King Abdulaziz International Airport,4
Abu Dhabi International Airport,Kuala Lumpur International Airport,4
Punta Cana International Airport,Logan International Airport,4
