origin_airport_name,destination_airport_name,count
London Heathrow Airport,Singapore Changi Airport,5
İstanbul Airport,Tocumen International Airport,5
Incheon International Airport,Dubai International Airport,10
Charles de Gaulle International Airport,Miami International Airport,5
Athens Eleftherios Venizelos International Airport,Singapore Changi Airport,5
Beijing Capital International Airport,Charles de Gaulle International Airport,5
Roland Garros Airport,Charles de Gaulle International Airport,5
John F Kennedy International Airport,San Francisco International Airport,10
Kuala Lumpur International Airport,London Heathrow Airport,5
Harry Reid International Airport,Philadelphia International Airport,5
Roland Garros Airport,Paris-Orly Airport,10
Indira Gandhi International Airport,Hong Kong International Airport,5
