origin_airport_name,destination_airport_name,count
Amsterdam Airport Schiphol,Taiwan Taoyuan International Airport,6
Charles de Gaulle International Airport,Juan Santamaría International Airport,6
Adolfo Suárez Madrid–Barajas Airport,Jorge Chávez International Airport,6
Geneva Cointrin International Airport,Chicago Midway International Airport,6
Frankfurt Airport,Beijing Capital International Airport,12
Brussels Airport,Hong Kong International Airport,6
Vienna International Airport,John F Kennedy International Airport,6
Washington Dulles International Airport,Indira Gandhi International Airport,6
Newark Liberty International Airport,Narita International Airport,6
Rio Galeão – Tom Jobim International Airport,Rome–Fiumicino Leonardo da Vinci International Airport,6
Chengdu Tianfu International Airport,Cairo International Airport,6
