origin_airport_name,destination_airport_name,count
İstanbul Airport,Miami International Airport,7
Murtala Muhammed International Airport,Hartsfield Jackson Atlanta International Airport,7
Charles de Gaulle International Airport,Los Angeles / Tom Bradley International Airport,21
Tokyo Haneda International Airport,Frankfurt Airport,7
Ninoy Aquino International Airport,Kuwait International Airport,7
Kuwait International Airport,Bandaranaike International Colombo Airport,7
Baltimore/Washington International Thurgood Marshall Airport,San Diego International Airport,7
London Heathrow Airport,King Abdulaziz International Airport,7
Abu Dhabi International Airport,Kuala Lumpur International Airport,7
Punta Cana International Airport,Logan International Airport,7
