origin_airport_name,destination_airport_name,count
İstanbul Airport,Miami International Airport,8
Murtala Muhammed International Airport,Hartsfield Jackson Atlanta International Airport,8
Charles de Gaulle International Airport,Los Angeles / Tom Bradley International Airport,24
Tokyo Haneda International Airport,Frankfurt Airport,8
Ninoy Aquino International Airport,Kuwait International Airport,8
Kuwait International Airport,Bandaranaike International Colombo Airport,8
Baltimore/Washington International Thurgood Marshall Airport,San Diego International Airport,8
London Heathrow Airport,King Abdulaziz International Airport,8
Abu Dhabi International Airport,Kuala Lumpur International Airport,8
Punta Cana International Airport,Logan International Airport,8
