origin_airport_name,destination_airport_name,count
İstanbul Airport,Miami International Airport,9
Murtala Muhammed International Airport,Hartsfield Jackson Atlanta International Airport,9
Charles de Gaulle International Airport,Los Angeles / Tom Bradley International Airport,27
Tokyo Haneda International Airport,Frankfurt Airport,9
Ninoy Aquino International Airport,Kuwait International Airport,9
Kuwait International Airport,Bandaranaike International Colombo Airport,9
Baltimore/Washington International Thurgood Marshall Airport,San Diego International Airport,9
London Heathrow Airport,King Abdulaziz International Airport,9
Abu Dhabi International Airport,Kuala Lumpur International Airport,9
La Guardia Airport,Denver International Airport,1
