origin_airport_name,destination_airport_name,count
Louisville Muhammad Ali International Airport,Narita International Airport,10
Frankfurt Airport,Punta Cana International Airport,10
Malpensa International Airport,John F Kennedy International Airport,10
Warsaw Chopin Airport,Chicago O'Hare International Airport,10
John F Kennedy International Airport,Hamad International Airport,10
Helsinki Vantaa Airport,Tokyo Haneda International Airport,10
San Diego International Airport,John F Kennedy International Airport,10
Ted Stevens Anchorage International Airport,John F Kennedy International Airport,20
Vnukovo International Airport,Urgench Airport,10
Norman Y. Mineta San Jose International Airport,Nashville International Airport,10
Amsterdam Airport Schiphol,Chhatrapati Shivaji International Airport,10
La Guardia Airport,Dallas Fort Worth International Airport,3
